week,media_tv,media_radio,media_online,price
1,0.31276546854112547,0.3174062641574862,0.5062410440259046,-4.2855821427064
2,0.5545316313024047,0.8772958056625841,0.7125360215701979,-2.8229277768481746
3,0.3631085285348275,0.7135292493244223,0.6248518664985039,-2.086680091086665
4,0.7724429100224042,0.6234615925275345,0.6048237935219766,-1.7047750269544852
5,0.43334630208679525,0.37735858584562126,0.34179024337565567,-1.4842444063987972
6,0.17709536427018444,0.550102558093767,0.14871291241787282,-1.3666026610459405
7,0.49184445457032294,0.24930871172240326,0.595835459867557,-1.2952168719999047
8,0.6338144515395796,0.4405397613659042,0.8198516815883127,-1.2637286271510106
9,0.6488250150632013,0.8489873435378759,0.6136187330891464,-1.2266237176953123
10,0.4351796261444123,0.4210240679740499,0.4082234629987874,-1.1750804516245499
11,0.7025202434448738,0.3377255608251357,0.5560511568976898,-1.1136143107695071
12,0.4180253583153001,0.19599272421708672,0.3539539061409371,-1.0569405687332842
13,0.23935064857759833,0.24516851432303963,0.12872427847576343,-1.0410370869372292
14,0.011130496463511738,0.40305204121028976,0.5271839805055745,-1.0119001458263435
15,0.7465455030694359,0.6686708966409142,0.5479662570392428,-0.9765166211797569
16,0.5141048426223864,0.5505277412141011,0.5899385348545314,-0.9495818954983428
17,0.44230479594193356,0.3587504233611777,0.34572711410576773,-0.9193827107066708
18,0.5464834226391752,0.5282610005585381,0.6654011600775205,-0.902339550031285
19,0.5040316265126181,0.2281196235242331,0.3115048813176649,-0.8698138320889578
20,0.524112844244194,0.347505625741177,0.21744116325481017,-0.8439320689813133
21,0.6793582352237446,0.5200215669643552,0.6332695095357453,-0.8391260592342259
22,0.689393055064626,0.7247018802734093,0.7006146028895972,-0.827680938574368
23,0.5001403779050709,0.502869495330037,0.43347151627695424,-0.7881594375194125
24,0,0.3475926919065477,0,-0.7588824239658897
25,0.4610717755361108,0.1420963910554892,0.259368690542279,-0.7194747365075721
26,0.3593987038909312,0.2591700576105235,0.493350525987097,-0.6719449916041675
27,0.4295678690440955,0.4821505394952183,0.5360409189946499,-0.6338225185881834
28,0.23876007321770765,0.49049918124003455,0.6366199725724478,-0.6055029092933139
29,0.422113260829784,0.6614014134521776,0.7176086815288458,-0.584620232549008
30,0.5160047821404589,0.16334806636386853,0.32256753440940256,-0.5493119492682769
31,0.6213612007787819,0.3374169048820913,0.5467123016332331,-0.532564913760585
32,0.32569224325071766,0.007623894562789523,0.3676167978705598,-0.5063771580618862
33,0.4950686655366484,0.34697100892389815,0.5884553279189154,-0.48312687095832485
34,0.49620521278976903,0.46189977854477743,0.7748308434823623,-0.4895829695071556
35,0.2613408499441847,0.48672648991471357,0.6920108304281819,-0.4986554225164008
36,0.39265942884689764,0.4868969370716343,0.43312524493136095,-0.4758026847802771
37,0.30454106050773033,0.006054114973283192,0.6021931323124861,-0.45281587308594773
38,0.3260360555422133,0.4606080409718546,0.050451156234798886,-0.4155450344225141
39,0.5971488167088461,0.044663120988529086,0.33771885184941847,-0.3556339694680231
40,0.6225329415580164,0.4119711100376815,0.5238860356948487,-0.2903149924852612
41,0.500158228822606,0.40571201665196344,0.6315678573256109,-0.2336794166612743
42,0.45887637569329814,0.4271931478322753,0.7759637802734374,-0.18563544535020296
43,0.5591179118080428,0.7635464210153754,0.5058911693274517,-0.15007473735475946
44,0.45716999254467594,0.27747418111209715,0.4324975257032228,-0.09544413601029311
45,0.21545551446745254,0.060280190570001176,0.3662752047685846,-0.045311112007714587
46,0.2907414824022831,0.13704666492621734,0.4611864388650388,-0.02272583417515363
47,0.586738926439701,0.6442547600205365,0.7353881159019497,6.366602330701365e-4
48,0.6819729012840094,0.5904781912565038,0.8280603504171608,-8.17653269140226e-4
49,0.44105932077360993,0.42207314917450883,0.1829198266470106,0.009958741303959021
50,0.5467577049125325,0.15889466601172342,0.49720033477904296,-0.007414943273796461
51,0.4169193093845353,0.0026452798509815877,0.4137319363173402,0.016976232836198552
52,0.2693173683143672,0.16417924167771206,0.37183190806610084,0.0343816324844389
53,0.5501422664846886,0.6832101809772125,0.7249734521936593,0.05123262651878102
54,0.3116288263881206,0.4944308642068673,0.6006251487583395,0.07153248730156327
55,0.7832035679807592,0.3028563271116819,0.563385358668773,0.10472862878911088
56,0.8008090859971605,0.705486780939083,0.5977661977165977,0.14531810630367534
57,0.2702385342284992,0.3398923233152164,0.6258672179666215,0.1880262830988173
58,0.1520199903457802,0.2525238457679149,0.42854398547098616,0.2154907562715189
59,0.5550093241809303,0.6230111028118086,0.4531604624616543,0.22402984523265568
60,0.49481494106926727,0.7311720751929829,0.4581971724630978,0.237037435483119
61,1,0.47918565518615336,0.5956931789779862,0.26180865826446337
62,0.44373057467426985,0.8363741635249863,0.3880428765869731,0.27672327589320456
63,0.500260052463088,0.25987157906485836,0.35682470985004466,0.29749124497324586
64,0.3458402398885978,0.016999127124965888,0.41983828144021923,0.3054785431198244
65,0.25435663687960985,0.3436409071297824,0.32366699121561515,0.3236481394496771
66,0.5303302002118055,0.5646084635183496,1,0.34886961210567347
67,0.178760674119762,1,0.684686108357446,0.37368981914082455
68,0.7799749374442848,0.5427310205671219,0.7643376619352641,0.39805158335613733
69,0.4286102337558829,0.4423644417318291,0.10000663933346245,0.4497366739257294
70,0.7687264992583485,0.2479866443778971,0.47174971762678647,0.5007749039483556
71,0.4600335058570633,0.24989632517745153,0.1986842799162358,0.5564763399299769
72,0.31424662831677375,0.45553653399994676,0.6764290225896309,0.5854247932052262
73,0.6475762700869248,0.7237192912983886,0.7088978130649541,0.6165429630940934
74,0.33544576230203066,0.9332235924016407,0.5750451649411171,0.6629046757091253
75,0.19191926837261464,0.6124066987686906,0.7150338674952993,0.6995722962560386
76,0.4139750297770016,0.49857588312629036,0.2775351956329584,0.701762209678049
77,0.25620747619908435,0.05627718959665871,0.27636188646667575,0.7220813631045817
78,0.4128425829219392,0.5580420345643895,0.3186438896923186,0.7193048530226119
79,0.5171571368112479,0.5831923110491548,0.5083158602311431,0.7206158682058409
80,0.41787207505960405,0.3480575130199576,0.8037036703967174,0.7544923722116863
81,0.3677930653485437,0.5960161031347739,0.6418831358205521,0.7945257043250319
82,0.36084860824254544,0.31744741952619077,0.5860506689615392,0.8444421972601416
83,0.5706773027048794,0.5107017935104051,0.2965846021075547,0.8880779973885635
84,0.07420466220841927,0.191086853043871,0.4708334118425366,0.9226159308407766
85,0.5834262604427436,0.4077897187081735,0.5913765127663058,0.9409668254572474
86,0.5968570448098177,0.43571629875803064,0.43687334397920224,0.9872072548419986
87,0.7228119192626365,0.5329271216703512,0.897751124838379,1.0252656058428415
88,0.3673858409516446,0.48368081471358176,0.5148592044163629,1.0483669417489874
89,0.4230531886159539,0.1532066871838555,0.4914358053876275,1.086580455953909
90,0.40131615871876236,0.4198431568566032,0.518178597321365,1.1353407704980985
91,0.3173240134837169,0.20109257232225702,0.4819964405102262,1.2011135086655278
92,0.7494575422501712,0.37951341276148864,0.5766724362948353,1.2396749210495062
93,0.7610813359291722,0.8449395186831636,0.7921776935264009,1.2676630025927738
94,0.6072707634061697,0.3118916691617044,0.39870534269217023,1.2900019873128754
95,0.6908434252206727,0.3981898928573731,0.717929018813708,1.3100962834384102
96,0.44813299201938683,0.19243696088730802,0.29729075102161323,1.3291972662504783
97,0.13284591289429476,0.4107980952837387,0.6810847860492775,1.34881585288501
98,0.3641634657824506,0.7924481766193919,0.8022669769805653,1.3935302908906826
99,0.291994628210813,0.8733310237640736,0.6714140673051122,1.4202111160192514
100,0.41119643349921914,0.49215682652219805,0.700263404271377,1.442297504185048
101,0.2930454256481634,0,0.3195944724937212,1.4769632479546344
102,0.3531451863605706,0.7005338616062072,0.4159284870375748,1.5246691519291122
103,0.17480226872859878,0.4023973527268745,0.5411478172402189,1.5517797167039864
104,0.4676876103493346,0.5234209000940871,0.5234062138351971,1.57236677003092
